// Compost colors for betterfishtanks. You may add your own colors, change existing ones, or remove colors that aren't needed.
common_fish_egg, #aa792f
cooked_minishrimp, #ff8c5b
driedkelp_container, #6c7579
epic_fish_egg, #d726ff
exotic_fish_egg, #ff3a5b
fish_bag_item, #9afcff
flakes_container, #d0bb93
glass_container, #abacd3
guide_book, #68c9b5
legendary_fish_egg, #ca7000
medium_branch_acacia_log, #91897a
medium_branch_bamboo_block, #b2c950
medium_branch_birch_log, #ffffff
medium_branch_cherry_log, #472a3a
medium_branch_dark_oak_log, #554125
medium_branch_jungle_log, #796123
medium_branch_mangrove_log, #7a613a
medium_branch_oak_log, #9e7a48
medium_branch_spruce_log, #523416
medium_branch_stripped_acacia_log, #fc8455
medium_branch_stripped_bamboo_block, #fff470
medium_branch_stripped_birch_log, #fffcaa
medium_branch_stripped_cherry_log, #ffd2d7
medium_branch_stripped_dark_oak_log, #6b5233
medium_branch_stripped_jungle_log, #fcc07d
medium_branch_stripped_mangrove_log, #aa4e44
medium_branch_stripped_oak_log, #ffd07c
medium_branch_stripped_spruce_log, #a7804b
minishrimp_container, #ffc9d4
pellet_mix, #ffd98d
pellets_container, #ebc8ac
random_fish_bag, #a7ffff
rare_fish_egg, #57ffff
raw_minishrimp, #ffa76f
shipwreck_stripped_acacia_log, #ff8657
shipwreck_stripped_bamboo_block, #fff570
shipwreck_stripped_birch_log, #ffffac
shipwreck_stripped_cherry_log, #ffd2d9
shipwreck_stripped_dark_oak_log, #695133
shipwreck_stripped_jungle_log, #fbbf7c
shipwreck_stripped_mangrove_log, #ab5043
shipwreck_stripped_oak_log, #fecf7a
shipwreck_stripped_spruce_log, #a7804b
small_branch_acacia_log, #968c7d
small_branch_bamboo_block, #abc04d
small_branch_birch_log, #ffffff
small_branch_cherry_log, #4e2f3e
small_branch_dark_oak_log, #574325
small_branch_jungle_log, #7a6123
small_branch_mangrove_log, #7c623c
small_branch_oak_log, #9e7a48
small_branch_spruce_log, #553618
small_branch_stripped_acacia_log, #ff8455
small_branch_stripped_bamboo_block, #ffea6b
small_branch_stripped_birch_log, #ffffac
small_branch_stripped_cherry_log, #ffd4dc
small_branch_stripped_dark_oak_log, #6c5434
small_branch_stripped_jungle_log, #fcc27f
small_branch_stripped_mangrove_log, #ac5243
small_branch_stripped_oak_log, #ffda84
small_branch_stripped_spruce_log, #b2844e
small_stone_andesite, #c2c2c2
small_stone_calcite, #ffffff
small_stone_deepslate, #737376
small_stone_diorite, #ffffff
small_stone_dripstone_block, #b6907d
small_stone_granite, #c98970
small_stone_stone, #b2b2b2
small_stone_tuff, #a1a29a
structure_cave_andesite_amethyst_block, #c2b8d2
structure_cave_andesite_diamond_block, #bbe0dd
structure_cave_andesite_emerald_block, #a8d7b8
structure_cave_andesite_lapis_block, #a7b1c3
structure_cave_andesite_redstone_block, #bea2a0
structure_cave_calcite_amethyst_block, #ffffff
structure_cave_calcite_diamond_block, #ffffff
structure_cave_calcite_emerald_block, #ffffff
structure_cave_calcite_lapis_block, #ffffff
structure_cave_calcite_redstone_block, #ffffff
structure_cave_deepslate_amethyst_block, #736986
structure_cave_deepslate_diamond_block, #6e9191
structure_cave_deepslate_emerald_block, #5a896e
structure_cave_deepslate_lapis_block, #5a6279
structure_cave_deepslate_redstone_block, #6f5455
structure_cave_diorite_amethyst_block, #fef4ff
structure_cave_diorite_diamond_block, #f8ffff
structure_cave_diorite_emerald_block, #e4fff4
structure_cave_diorite_lapis_block, #e4edff
structure_cave_diorite_redstone_block, #fadedc
structure_cave_dripstone_block_amethyst_block, #bf989e
structure_cave_dripstone_block_diamond_block, #b9bfa8
structure_cave_dripstone_block_emerald_block, #a5b684
structure_cave_dripstone_block_lapis_block, #a59090
structure_cave_dripstone_block_redstone_block, #bb826c
structure_cave_granite_amethyst_block, #cd8e93
structure_cave_granite_diamond_block, #c8b69e
structure_cave_granite_emerald_block, #b5ae7a
structure_cave_granite_lapis_block, #b48786
structure_cave_granite_redstone_block, #c97962
structure_cave_stone_amethyst_block, #b2aac2
structure_cave_stone_diamond_block, #acd0cd
structure_cave_stone_emerald_block, #9ac9aa
structure_cave_stone_lapis_block, #98a1b5
structure_cave_stone_redstone_block, #ae9491
structure_cave_tuff_amethyst_block, #a19aac
structure_cave_tuff_diamond_block, #9bc2b6
structure_cave_tuff_emerald_block, #89b993
