// Compost colors for cyberspace. You may add your own colors, change existing ones, or remove colors that aren't needed.
bounding_acid, #c9afb1
data_block, #d3d3d3
data_hardware, #5c5b5e
fabricator, #d3d3d3
graphene_coated_iron_ingot, #9b9ba0
graphene_mesh, #484a50
graphite_blend, #403d43
graphite_fiber, #2f2d33
netcracker, #624d52
polymer, #fffffb
polymer_blend, #e6d3d4
quantum_core, #4b3c39
riftmaker, #8a8c91
synthetic_capsule, #5ab483
virtual_machine, #d3d3d3
virtual_machine_bounding_box, #d3d3d3
wrench, #757576
