// Compost colors for easy_npc. You may add your own colors, change existing ones, or remove colors that aren't needed.
allay_spawn_egg, #9effff
bogged_spawn_egg, #ffffff
bullet, #d49e62
cat_spawn_egg, #ffffff
cave_spider_spawn_egg, #e0e1de
chicken_spawn_egg, #ffffff
creeper_spawn_egg, #ffffff
custom_data_test, #ffebeb
doppler_spawn_egg, #ffffff
drowned_spawn_egg, #ffffff
easy_npc_preset, #e6d4be
easy_npc_preset_empty, #eedcc2
enderman_spawn_egg, #ffffff
evoker_spawn_egg, #ffffff
fairy_spawn_egg, #cdb69e
fox_spawn_egg, #ffffff
ghast_spawn_egg, #ffffff
horse_spawn_egg, #ffffff
humanoid_slim_spawn_egg, #ffffff
humanoid_spawn_egg, #ffffff
husk_spawn_egg, #ffffff
illusioner_spawn_egg, #ffffff
iron_golem_spawn_egg, #ffffff
move_easy_npc, #ffffff
orc_spawn_egg, #eaffe6
orc_warrior_spawn_egg, #e8ffe3
pig_spawn_egg, #ffffff
piglin_brute_spawn_egg, #ffffff
piglin_spawn_egg, #ffffff
pillager_spawn_egg, #ffffff
skeleton_horse_spawn_egg, #ffffff
skeleton_spawn_egg, #ffffff
slime_spawn_egg, #89eb6f
spider_spawn_egg, #f5e8e4
stray_spawn_egg, #ffffff
vex_spawn_egg, #ffffff
villager_spawn_egg, #ffffff
vindicator_spawn_egg, #ffffff
witch_spawn_egg, #ffffff
wither_skeleton_spawn_egg, #ffffff
wolf_spawn_egg, #ffffff
zombie_horse_spawn_egg, #f2fff1
zombie_spawn_egg, #ffffff
zombie_villager_spawn_egg, #ffffff
zombified_piglin_spawn_egg, #ffffff
