// Compost colors for enderscape. You may add your own colors, change existing ones, or remove colors that aren't needed.
alluring_magnia_sprout, #fffffe
blinklight, #cad7fc
bulb_flower, #beedbb
bulb_lantern, #90e7bc
celestial_chanterelle, #ffd694
celestial_door, #ffaf58
celestial_growth, #fec876
celestial_hanging_sign, #dd904a
celestial_sign, #f29b51
chorus_cake_roll, #c886c5
chorus_sprouts, #9e6f98
corrupt_growth, #7f5a90
cracked_mirror, #bc86bc
crescent_banner_pattern, #fffff1
drift_jelly_bottle, #abd6f7
drift_leggings, #b280ed
dry_end_growth, #ffffca
end_city_key, #b487ab
flanger_berry, #54be8d
healing, #ff4b43
magnia_attractor, #7f908c
mirror, #c28ec5
murublight_chanterelle, #645484
murublight_door, #c8c2ff
murublight_hanging_sign, #9b97c8
murublight_shelf, #8d75b9
murublight_sign, #9a97cc
music_disc_bliss, #a279c0
music_disc_decay, #6f6c7c
music_disc_glare, #7d4e9a
nebulite, #d236ff
nebulite_shards, #d337ff
raw_shadoline, #728a83
repulsive_magnia_sprout, #83758a
rubble_chitin, #9a86be
rustle_bucket, #dcdade
shadoline_ingot, #2c5851
stasis_armor_trim_smithing_template, #d28db1
veiled_door, #91669a
veiled_hanging_sign, #86648e
veiled_sapling, #fff7ff
veiled_sign, #9a70a4
veiled_vines, #ffffff
wisp_flower, #ffffff
wisp_growth, #ffffff
wisp_sprouts, #ffffff
